"filename", "language", "CSS", "PHP", "YAML", "HTML", "JavaScript", "XML", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\.styleci.yml", "YAML", 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 270, 0, 81, 351
"c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Console\Kernel.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 18, 7, 42
"c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Events\NotificationSend.php", "PHP", 0, 28, 0, 0, 0, 0, 0, 0, 0, 8, 36
"c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Exceptions\Handler.php", "PHP", 0, 18, 0, 0, 0, 0, 0, 0, 17, 6, 41
"c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Helpers\CollectionHelper.php", "PHP", 0, 28, 0, 0, 0, 0, 0, 0, 0, 8, 36
"c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Http\Controllers\AccessoriesController.php", "PHP", 0, 69, 0, 0, 0, 0, 0, 0, 30, 21, 120
"c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Http\Controllers\Controller.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Http\Controllers\DevicesController.php", "PHP", 0, 141, 0, 0, 0, 0, 0, 0, 0, 46, 187
"c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Http\Controllers\DevicesTransferController.php", "PHP", 0, 109, 0, 0, 0, 0, 0, 0, 0, 23, 132
"c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Http\Controllers\LeavingWorkController.php", "PHP", 0, 55, 0, 0, 0, 0, 0, 0, 0, 13, 68
"c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Http\Controllers\LoginController.php", "PHP", 0, 42, 0, 0, 0, 0, 0, 0, 0, 13, 55
"c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Http\Controllers\MessagesController.php", "PHP", 0, 32, 0, 0, 0, 0, 0, 0, 0, 12, 44
