Date : 2021-04-05 17:44:22
Directory : c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end
Total : 106 files,  22672 codes, 1641 comments, 1068 blanks, all 25381 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          4 |     19,079 |          0 |          4 |     19,083 |
| PHP        |         93 |      3,245 |      1,583 |        963 |      5,791 |
| Markdown   |          1 |        270 |          0 |         81 |        351 |
| XML        |          1 |         29 |          2 |          1 |         32 |
| JavaScript |          4 |         24 |         56 |         16 |         96 |
| YAML       |          1 |         13 |          0 |          1 |         14 |
| HTML       |          1 |         12 |          0 |          1 |         13 |
| CSS        |          1 |          0 |          0 |          1 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                   |        106 |     22,672 |      1,641 |      1,068 |     25,381 |
| app                                                                                                                                 |         44 |      1,822 |        347 |        472 |      2,641 |
| app\Console                                                                                                                         |          1 |         17 |         18 |          7 |         42 |
| app\Events                                                                                                                          |          1 |         28 |          0 |          8 |         36 |
| app\Exceptions                                                                                                                      |          1 |         18 |         17 |          6 |         41 |
| app\Helpers                                                                                                                         |          1 |         28 |          0 |          8 |         36 |
| app\Http                                                                                                                            |         23 |        845 |        111 |        248 |      1,204 |
| app\Http\Controllers                                                                                                                |         13 |        704 |         31 |        199 |        934 |
| app\Http\Middleware                                                                                                                 |          9 |        102 |         59 |         40 |        201 |
| app\Models                                                                                                                          |          8 |        545 |         15 |        120 |        680 |
| app\Notifications                                                                                                                   |          2 |        114 |         97 |         29 |        240 |
| app\Providers                                                                                                                       |          5 |         84 |         65 |         30 |        179 |
| app\Rules                                                                                                                           |          2 |        143 |         24 |         16 |        183 |
| bootstrap                                                                                                                           |          1 |         17 |         30 |          9 |         56 |
| config                                                                                                                              |         16 |        566 |        906 |        273 |      1,745 |
| database                                                                                                                            |         15 |        345 |        146 |         72 |        563 |
| database\factories                                                                                                                  |          4 |         78 |         40 |         20 |        138 |
| database\migrations                                                                                                                 |         10 |        231 |        101 |         41 |        373 |
| database\seeders                                                                                                                    |          1 |         36 |          5 |         11 |         52 |
| public                                                                                                                              |          1 |         14 |         30 |         12 |         56 |
| resources                                                                                                                           |         10 |        367 |         78 |         79 |        524 |
| resources\css                                                                                                                       |          1 |          0 |          0 |          1 |          1 |
| resources\js                                                                                                                        |          2 |         15 |         18 |         13 |         46 |
| resources\lang                                                                                                                      |          4 |        133 |         60 |         24 |        217 |
| resources\lang\en                                                                                                                   |          4 |        133 |         60 |         24 |        217 |
| resources\views                                                                                                                     |          3 |        219 |          0 |         41 |        260 |
| resources\views\vendor                                                                                                              |          1 |         55 |          0 |          8 |         63 |
| resources\views\vendor\notifications                                                                                                |          1 |         55 |          0 |          8 |         63 |
| routes                                                                                                                              |          4 |         80 |         40 |         36 |        156 |
| tests                                                                                                                               |          4 |         41 |         15 |         19 |         75 |
| tests\Feature                                                                                                                       |          1 |         12 |          5 |          5 |         22 |
| tests\Unit                                                                                                                          |          1 |         10 |          5 |          4 |         19 |
| vendor                                                                                                                              |          2 |         17 |         27 |          1 |         45 |
| vendor\facade                                                                                                                       |          2 |         17 |         27 |          1 |         45 |
| vendor\facade\ignition                                                                                                              |          2 |         17 |         27 |          1 |         45 |
| vendor\facade\ignition\resources                                                                                                    |          2 |         17 |         27 |          1 |         45 |
| vendor\facade\ignition\resources\compiled                                                                                           |          2 |         17 |         27 |          1 |         45 |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                            | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\.styleci.yml                                                              | YAML       |         13 |          0 |          1 |         14 |
| c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\README.md                                                                 | Markdown   |        270 |          0 |         81 |        351 |
| c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Console\Kernel.php                                                    | PHP        |         17 |         18 |          7 |         42 |
| c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Events\NotificationSend.php                                           | PHP        |         28 |          0 |          8 |         36 |
| c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Exceptions\Handler.php                                                | PHP        |         18 |         17 |          6 |         41 |
| c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Helpers\CollectionHelper.php                                          | PHP        |         28 |          0 |          8 |         36 |
| c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Http\Controllers\AccessoriesController.php                            | PHP        |         69 |         30 |         21 |        120 |
| c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Http\Controllers\Controller.php                                       | PHP        |         10 |          0 |          4 |         14 |
| c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Http\Controllers\DevicesController.php                                | PHP        |        141 |          0 |         46 |        187 |
| c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Http\Controllers\DevicesTransferController.php                        | PHP        |        109 |          0 |         23 |        132 |
| c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Http\Controllers\LeavingWorkController.php                            | PHP        |         55 |          0 |         13 |         68 |
| c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Http\Controllers\LoginController.php                                  | PHP        |         42 |          0 |         13 |         55 |
| c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Http\Controllers\MessagesController.php                               | PHP        |         32 |          0 |         12 |         44 |
| c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Http\Controllers\PasswordResetsController.php                         | PHP        |         36 |          0 |         11 |         47 |
| c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Http\Controllers\PdfController.php                                    | PHP        |         27 |          0 |         10 |         37 |
| c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Http\Controllers\RegistrationController.php                           | PHP        |         22 |          1 |          8 |         31 |
| c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Http\Controllers\UserDevicesController.php                            | PHP        |         45 |          0 |         11 |         56 |
| c:\Users\PC\Desktop\Praktika-Trainees\Bakalauras\back-end\app\Http\Controllers\UsersController.php                                  | PHP        |         80 |          0 |         19 |         99 |
