"filename", "language", "JSON", "JavaScript", "CSS", "Markdown", "SCSS", "Vue", "HTML", "comment", "blank", "total"
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\README.md", "Markdown", 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\babel.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\package-lock.json", "JSON", 11967, 0, 0, 0, 0, 0, 0, 0, 1, 11968
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\package.json", "JSON", 53, 0, 0, 0, 0, 0, 0, 0, 1, 54
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 16, 1, 1, 18
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\App.vue", "Vue", 0, 0, 0, 0, 0, 33, 0, 0, 5, 38
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\Errors.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\axios.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\components\DeleteModal.vue", "Vue", 0, 0, 0, 0, 0, 82, 0, 0, 3, 85
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\components\DeviceAddModal.vue", "Vue", 0, 0, 0, 0, 0, 166, 0, 0, 11, 177
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\components\DeviceHandling.vue", "Vue", 0, 0, 0, 0, 0, 201, 0, 0, 9, 210
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\components\DeviceUpdateModal.vue", "Vue", 0, 0, 0, 0, 0, 164, 0, 0, 10, 174
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\components\EmailVerification.vue", "Vue", 0, 0, 0, 0, 0, 16, 0, 7, 4, 27
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\components\NavBar.vue", "Vue", 0, 0, 0, 0, 0, 76, 0, 0, 2, 78
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\components\Table.vue", "Vue", 0, 0, 0, 0, 0, 141, 0, 0, 6, 147
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\main.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 0, 8, 46
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\router\index.js", "JavaScript", 0, 86, 0, 0, 0, 0, 0, 0, 9, 95
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\styles\_variables.scss", "SCSS", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\styles\devicesHandling.css", "CSS", 0, 0, 44, 0, 0, 0, 0, 1, 4, 49
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\styles\devicesHandling.scss", "SCSS", 0, 0, 0, 0, 39, 0, 0, 0, 7, 46
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\styles\login.css", "CSS", 0, 0, 226, 0, 0, 0, 0, 2, 31, 259
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\styles\login.scss", "SCSS", 0, 0, 0, 0, 206, 0, 0, 2, 50, 258
