"filename", "language", "JavaScript", "Vue", "JSON", "Markdown", "HTML", "CSS", "SCSS", "comment", "blank", "total"
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\README.md", "Markdown", 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\package-lock.json", "JSON", 0, 0, 11967, 0, 0, 0, 0, 0, 1, 11968
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\package.json", "JSON", 0, 0, 53, 0, 0, 0, 0, 0, 1, 54
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\public\index.html", "HTML", 0, 0, 0, 0, 16, 0, 0, 1, 1, 18
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\App.vue", "Vue", 0, 32, 0, 0, 0, 0, 0, 0, 5, 37
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\Errors.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\Images.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\axios.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\components\AccessoryAddModal.vue", "Vue", 0, 149, 0, 0, 0, 0, 0, 1, 17, 167
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\components\AccessoryEdit.vue", "Vue", 0, 162, 0, 0, 0, 0, 0, 0, 16, 178
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\components\DeleteModal.vue", "Vue", 0, 100, 0, 0, 0, 0, 0, 0, 2, 102
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\components\DeviceAddModal.vue", "Vue", 0, 212, 0, 0, 0, 0, 0, 0, 16, 228
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\components\DeviceHandling.vue", "Vue", 0, 228, 0, 0, 0, 0, 0, 0, 9, 237
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\components\DeviceHistory.vue", "Vue", 0, 107, 0, 0, 0, 0, 0, 0, 5, 112
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\components\DeviceUpdateModal.vue", "Vue", 0, 217, 0, 0, 0, 0, 0, 0, 15, 232
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\components\EmailVerification.vue", "Vue", 0, 16, 0, 0, 0, 0, 0, 7, 4, 27
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\components\NavBar.vue", "Vue", 0, 72, 0, 0, 0, 0, 0, 11, 3, 86
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\components\Tab.vue", "Vue", 0, 26, 0, 0, 0, 0, 0, 0, 4, 30
