"filename", "language", "Markdown", "JSON", "JavaScript", "HTML", "Vue", "SCSS", "CSS", "comment", "blank", "total"
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\README.md", "Markdown", 20, 0, 0, 0, 0, 0, 0, 0, 7, 27
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\babel.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\package-lock.json", "JSON", 0, 11972, 0, 0, 0, 0, 0, 0, 1, 11973
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\package.json", "JSON", 0, 54, 0, 0, 0, 0, 0, 0, 1, 55
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\public\index.html", "HTML", 0, 0, 0, 16, 0, 0, 0, 1, 1, 18
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\App.vue", "Vue", 0, 0, 0, 0, 34, 0, 0, 0, 4, 38
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\Errors.js", "JavaScript", 0, 0, 19, 0, 0, 0, 0, 0, 2, 21
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\Images.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\axios.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\components\AccessoryAddModal.vue", "Vue", 0, 0, 0, 0, 149, 0, 0, 0, 17, 166
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\components\AccessoryEdit.vue", "Vue", 0, 0, 0, 0, 151, 0, 0, 0, 15, 166
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\components\AccessoryHandlingModal.vue", "Vue", 0, 0, 0, 0, 174, 0, 0, 0, 9, 183
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\components\AddUserModal.vue", "Vue", 0, 0, 0, 0, 32, 0, 0, 0, 2, 34
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\components\DeleteModal.vue", "Vue", 0, 0, 0, 0, 122, 0, 0, 0, 2, 124
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\components\DeleteUserModal.vue", "Vue", 0, 0, 0, 0, 99, 0, 0, 0, 2, 101
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\components\DeviceAddModal.vue", "Vue", 0, 0, 0, 0, 212, 0, 0, 0, 16, 228
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\components\DeviceHandlingModal.vue", "Vue", 0, 0, 0, 0, 252, 0, 0, 0, 10, 262
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\components\DeviceHistory.vue", "Vue", 0, 0, 0, 0, 113, 0, 0, 0, 5, 118
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\components\DeviceUpdateModal.vue", "Vue", 0, 0, 0, 0, 206, 0, 0, 0, 14, 220
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\components\EmailVerification.vue", "Vue", 0, 0, 0, 0, 16, 0, 0, 7, 4, 27
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\components\LeaveWorkModal.vue", "Vue", 0, 0, 0, 0, 153, 0, 0, 0, 6, 159
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\components\NavBar.vue", "Vue", 0, 0, 0, 0, 94, 0, 0, 0, 3, 97
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\components\ProfileEdit.vue", "Vue", 0, 0, 0, 0, 223, 0, 0, 0, 17, 240
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\components\Tab.vue", "Vue", 0, 0, 0, 0, 26, 0, 0, 0, 4, 30
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\components\Table.vue", "Vue", 0, 0, 0, 0, 190, 0, 0, 0, 6, 196
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\components\Tabs.vue", "Vue", 0, 0, 0, 0, 42, 0, 0, 0, 3, 45
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\main.js", "JavaScript", 0, 0, 38, 0, 0, 0, 0, 0, 8, 46
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\router\index.js", "JavaScript", 0, 0, 112, 0, 0, 0, 0, 0, 8, 120
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\styles\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\styles\accessoriesSelect.css", "CSS", 0, 0, 0, 0, 0, 0, 95, 1, 15, 111
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\styles\accessoriesSelect.scss", "SCSS", 0, 0, 0, 0, 0, 87, 0, 0, 15, 102
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\styles\device.css", "CSS", 0, 0, 0, 0, 0, 0, 379, 1, 41, 421
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\styles\device.scss", "SCSS", 0, 0, 0, 0, 0, 300, 0, 0, 62, 362
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\styles\devicesHandling.css", "CSS", 0, 0, 0, 0, 0, 0, 45, 1, 4, 50
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\styles\devicesHandling.scss", "SCSS", 0, 0, 0, 0, 0, 40, 0, 0, 7, 47
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\styles\login.css", "CSS", 0, 0, 0, 0, 0, 0, 256, 2, 33, 291
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\styles\login.scss", "SCSS", 0, 0, 0, 0, 0, 233, 0, 2, 52, 287
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\styles\messages.css", "CSS", 0, 0, 0, 0, 0, 0, 32, 1, 5, 38
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\styles\messages.scss", "SCSS", 0, 0, 0, 0, 0, 33, 0, 0, 8, 41
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\styles\navbar.css", "CSS", 0, 0, 0, 0, 0, 0, 76, 7, 8, 91
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\styles\navbar.scss", "SCSS", 0, 0, 0, 0, 0, 72, 0, 7, 14, 93
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\styles\notFound.css", "CSS", 0, 0, 0, 0, 0, 0, 14, 1, 0, 15
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\styles\notFound.scss", "SCSS", 0, 0, 0, 0, 0, 10, 0, 0, 4, 14
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\styles\profile.css", "CSS", 0, 0, 0, 0, 0, 0, 166, 1, 15, 182
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\styles\profile.scss", "SCSS", 0, 0, 0, 0, 0, 112, 0, 0, 22, 134
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\styles\table.css", "CSS", 0, 0, 0, 0, 0, 0, 222, 1, 26, 249
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\styles\table.scss", "SCSS", 0, 0, 0, 0, 0, 197, 0, 0, 34, 231
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\validations.js", "JavaScript", 0, 0, 41, 0, 0, 0, 0, 0, 11, 52
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\views\DeviceView.vue", "Vue", 0, 0, 0, 0, 263, 0, 0, 0, 6, 269
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\views\EmailResend.vue", "Vue", 0, 0, 0, 0, 95, 0, 0, 0, 4, 99
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\views\EmailVerification.vue", "Vue", 0, 0, 0, 0, 24, 0, 0, 0, 3, 27
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\views\Home.vue", "Vue", 0, 0, 0, 0, 140, 0, 0, 0, 5, 145
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\views\Login.vue", "Vue", 0, 0, 0, 0, 87, 0, 0, 0, 4, 91
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\views\Messages.vue", "Vue", 0, 0, 0, 0, 270, 0, 0, 1, 4, 275
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\views\NotFound.vue", "Vue", 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\views\PasswordReset.vue", "Vue", 0, 0, 0, 0, 86, 0, 0, 0, 4, 90
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\views\Profile.vue", "Vue", 0, 0, 0, 0, 131, 0, 0, 1, 4, 136
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\views\Registration.vue", "Vue", 0, 0, 0, 0, 172, 0, 0, 0, 11, 183
"c:\Users\PC\Desktop\teltonika-praktika\teltonika-projektas\front-end\src\views\UsersTable.vue", "Vue", 0, 0, 0, 0, 217, 0, 0, 0, 4, 221
"Total", "-", 20, 12026, 218, 16, 3784, 1087, 1285, 35, 599, 19070
